sessions_id,user_id,transactions_id,payment_method_id,total_amount,transactions_timestamps,status
33118,2030,6570,1,288000,2020-12-26 10:33:37.000000 UTC,completed
43057,66,9115,1,288000,2021-02-13 06:32:34.000000 UTC,completed
144311,8697,28750,1,288000,2022-03-27 15:15:17.000000 UTC,canceled
202309,7948,36448,1,288000,2022-11-20 23:30:38.000000 UTC,completed
27850,3540,5599,1,224000,2020-11-18 01:39:36.000000 UTC,completed
69759,1023,15127,1,224000,2021-07-29 17:44:36.000000 UTC,completed
131618,4866,25926,1,224000,2022-02-27 18:10:38.000000 UTC,canceled
136594,5517,27032,1,224000,2022-03-11 19:14:01.000000 UTC,canceled
136624,5815,27039,1,224000,2022-03-11 20:18:49.000000 UTC,canceled
143876,4448,28648,1,224000,2022-03-27 06:43:24.000000 UTC,completed
165764,5815,32395,1,224000,2022-07-23 13:38:46.000000 UTC,canceled
194329,1499,35636,1,224000,2022-10-25 18:15:57.000000 UTC,completed
20570,2598,4217,1,160000,2020-09-20 09:36:39.000000 UTC,completed
27811,2979,5585,1,160000,2020-11-17 17:37:21.000000 UTC,canceled
35275,1269,7076,1,160000,2021-01-07 12:47:02.000000 UTC,canceled
41573,3142,8735,1,160000,2021-02-06 22:34:47.000000 UTC,completed
47709,3396,10320,1,160000,2021-03-04 04:52:49.000000 UTC,completed
50607,4948,11079,1,160000,2021-03-14 22:55:33.000000 UTC,completed
54128,2931,12001,1,160000,2021-03-29 18:48:06.000000 UTC,completed
56576,5569,12581,1,160000,2021-04-21 17:13:06.000000 UTC,canceled
62529,4925,13983,1,160000,2021-06-19 14:01:08.000000 UTC,completed
82491,4072,16916,1,160000,2021-09-26 01:51:39.000000 UTC,completed
99231,6468,19221,1,160000,2021-12-05 15:31:18.000000 UTC,canceled
111673,2456,21332,1,160000,2022-01-15 13:08:15.000000 UTC,canceled
114615,5630,22013,1,160000,2022-01-22 15:13:57.000000 UTC,completed
115999,3565,22331,1,160000,2022-01-25 20:56:36.000000 UTC,canceled
124770,5444,24383,1,160000,2022-02-13 16:07:39.000000 UTC,canceled
125500,4160,24545,1,160000,2022-02-15 05:58:50.000000 UTC,completed
127390,6488,24971,1,160000,2022-02-19 14:49:06.000000 UTC,completed
136232,2353,26955,1,160000,2022-03-10 21:43:11.000000 UTC,completed
137649,1830,27269,1,160000,2022-03-13 10:53:33.000000 UTC,completed
184878,9004,34560,1,160000,2022-09-24 00:12:37.000000 UTC,canceled
191257,2345,35288,1,160000,2022-10-15 10:26:28.000000 UTC,completed
5321,149,1015,1,96000,2020-04-19 08:52:21.000000 UTC,completed
45004,480,9615,1,96000,2021-02-20 23:40:25.000000 UTC,canceled
53063,3381,11722,1,96000,2021-03-25 20:09:27.000000 UTC,completed
62616,2962,14004,1,96000,2021-06-20 08:53:11.000000 UTC,completed
63582,1371,14231,1,96000,2021-06-28 10:15:39.000000 UTC,canceled
64771,5199,14411,1,96000,2021-07-05 06:57:59.000000 UTC,completed
72058,6099,15452,1,96000,2021-08-09 09:30:06.000000 UTC,completed
